Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
37047,20100516:0900,7.8,24,1.3,24,-,-,-,-,-,D
37047,20100517:0900,6.7,24,3.9,24,-,-,-,-,-,D
37047,20100518:0900,6.1,24,0.0,24,-,-,-,-,-,D
37047,20100519:0900,9.0,24,0.7,24,-,-,-,-,-,D
37047,20100520:0900,5.6,24,-0.6,24,-,-,-,-,-,D
37047,20100521:0900,5.3,24,-0.4,24,-,-,-,-,-,D
37047,20100522:0900,4.4,24,-0.9,24,-,-,-,-,-,D
37047,20100523:0900,7.3,24,0.7,24,-,-,-,-,-,D
37047,20100524:0900,4.7,24,1.8,24,-,-,-,-,-,D
37047,20100525:0900,4.8,24,2.2,24,-,-,-,-,-,D
37047,20100526:0900,4.9,24,2.9,24,-,-,-,-,-,D
37047,20100527:0900,3.9,24,-2.2,24,-,-,-,-,-,D
37047,20100528:0900,-1.2,24,-2.2,24,-,-,-,-,-,D
37047,20100529:0900,0.2,24,-1.3,24,-,-,-,-,-,D
37047,20100530:0900,2.5,24,-1.4,24,-,-,-,-,-,D
37047,20100531:0900,2.7,24,-1.8,24,-,-,-,-,-,D
37047,20100601:0900,2.1,24,-2.6,24,-,-,-,-,-,D
37047,20100602:0900,1.8,24,-4.4,24,-,-,-,-,-,D
37047,20100603:0900,0.6,24,-3.9,24,-,-,-,-,-,D
37047,20100604:0900,1.6,24,-2.8,24,-,-,-,-,-,D
37047,20100605:0900,5.2,24,-0.9,24,-,-,-,-,-,D
37047,20100606:0900,7.0,24,0.9,24,-,-,-,-,-,D
37047,20100607:0900,3.1,24,0.2,24,-,-,-,-,-,D
37047,20100608:0900,1.5,24,-1.7,24,-,-,-,-,-,D
37047,20100609:0900,0.7,24,-5.3,24,-,-,-,-,-,D
37047,20100610:0900,3.4,24,-4.8,24,-,-,-,-,-,D
37047,20100611:0900,5.5,24,0.2,24,-,-,-,-,-,D
37047,20100612:0900,3.2,24,-1.0,24,-,-,-,-,-,D
37047,20100613:0900,1.1,24,-5.1,24,-,-,-,-,-,D
37047,20100614:0900,0.4,24,-4.8,24,-,-,-,-,-,D
37047,20100615:0900,3.7,24,-4.0,24,-,-,-,-,-,D
37047,20100616:0900,-0.6,24,-4.5,24,-,-,-,-,-,D
